table,ground_truth
"Alpha,Identifier
kWIrwaEqeJW,rkPiKnqE-367
,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""rkPiKnqE-367"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
79.227014,VoqQlgx
,rMSsou-495
-1048.991677,
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 79.227014, ""Identifier"": null}, ""column_min"": {""Alpha"": -1048.991677, ""Identifier"": null}, ""identifier_first"": ""VoqQlgx"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
-9119,zeJmyW
4686,
2871,VzEs-729
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 4686.0, ""Identifier"": null}, ""column_min"": {""Alpha"": -9119.0, ""Identifier"": null}, ""identifier_first"": ""zeJmyW"", ""identifier_last"": ""VzEs-729"", ""identifier_shortest"": """"}"
"Alpha,Beta
-75.120588,GsFZKhvyeLq
-391.619811,db
139.978106,ShtpmIgjMGdT
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": 139.978106, ""Beta"": null}, ""column_min"": {""Alpha"": -391.619811, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
-1199,
2917,kVarhmues
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 2917.0, ""Identifier"": null}, ""column_min"": {""Alpha"": -1199.0, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""kVarhmues"", ""identifier_shortest"": """"}"
"Identifier,Beta
fshpNoseiO,FlDWqyWuvdzxQL
,qzYGkp
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""fshpNoseiO"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
,
EZLWPY-632,USE
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""EZLWPY-632"", ""identifier_shortest"": """"}"
"Alpha,Beta
IdTvwp,ESHJVYuk
TaAqOrx,pKoOTEMWVaLP
FcKrN,RO
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": null, ""Beta"": null}, ""column_min"": {""Alpha"": null, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Identifier,Beta
,-548.920413
WjprOYg a-978,-978.057706
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""float""}, ""column_max"": {""Identifier"": null, ""Beta"": -548.920413}, ""column_min"": {""Identifier"": null, ""Beta"": -978.057706}, ""identifier_first"": """", ""identifier_last"": ""WjprOYg a-978"", ""identifier_shortest"": """"}"
"Identifier,Beta
lQQzVkzrN-547,-4278
,1731
YixaBYosi-393,4428
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int""}, ""column_max"": {""Identifier"": null, ""Beta"": 4428.0}, ""column_min"": {""Identifier"": null, ""Beta"": -4278.0}, ""identifier_first"": ""lQQzVkzrN-547"", ""identifier_last"": ""YixaBYosi-393"", ""identifier_shortest"": """"}"
"Alpha,Beta
ZyUXJ cUKXv,CrX lY
,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": null, ""Beta"": null}, ""column_min"": {""Alpha"": null, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Beta,Identifier,Delta
-1085.630603,-1506.294714,,KEqEcXtv
997.345447,-204.200965,aBXfM-7,ZEn MOHKZu
282.978498,1979.348433,UCgcfQ-810,zX
","{""num_rows"": 3, ""num_columns"": 4, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""float"", ""Identifier"": ""str"", ""Delta"": ""str""}, ""column_max"": {""Alpha"": 997.345447, ""Beta"": 1979.348433, ""Identifier"": null, ""Delta"": null}, ""column_min"": {""Alpha"": -1085.630603, ""Beta"": -1506.294714, ""Identifier"": null, ""Delta"": null}, ""identifier_first"": """", ""identifier_last"": ""UCgcfQ-810"", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma,Delta,Epsilon
-678.886152,cWPlU fFQq,,-434.351276,-255.619371
-94.708969,vvJz,ZwRrBO,1495.826526,-2798.589105
1491.389626,UDy,agNeGwTf,746.580592,-1771.533105
-638.901997,XvbmLfOxawo,,,-699.877235
-443.98196,IGU dOsF,yeISOzbuqE,-1410.301204,927.462432
","{""num_rows"": 5, ""num_columns"": 5, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""str"", ""Gamma"": ""str"", ""Delta"": ""float"", ""Epsilon"": ""float""}, ""column_max"": {""Alpha"": 1491.389626, ""Beta"": null, ""Gamma"": null, ""Delta"": 1495.826526, ""Epsilon"": 927.462432}, ""column_min"": {""Alpha"": -678.886152, ""Beta"": null, ""Gamma"": null, ""Delta"": -1410.301204, ""Epsilon"": -2798.589105}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier,Gamma,Delta
f OdWHyItjPXs,,-173.635683,KofMuf
yxiIvHhOkZLyBd,oKvfrG-908,1039.606171,JIiZIiY
iDQbwCVVUTQCt,qzcGfm,-241.728042,FUzXbqTKF
","{""num_rows"": 3, ""num_columns"": 4, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str"", ""Gamma"": ""float"", ""Delta"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null, ""Gamma"": 1039.606171, ""Delta"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null, ""Gamma"": -241.728042, ""Delta"": null}, ""identifier_first"": """", ""identifier_last"": ""qzcGfm"", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma,Delta,Identifier
Sdx,G Mudy,2392.365266,2238.143338,
,Ly,412.91216,767.64147,hbBQF
ZdAyGqlJ,gDKWTu,978.736006,370.679052,IcEIjux
","{""num_rows"": 3, ""num_columns"": 5, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""str"", ""Gamma"": ""float"", ""Delta"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Beta"": null, ""Gamma"": 2392.365266, ""Delta"": 2238.143338, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Beta"": null, ""Gamma"": 412.91216, ""Delta"": 370.679052, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""IcEIjux"", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma,Delta,Epsilon
UyoSeqs,1495.644137,OzA,UBSsl,8625
AwBc,1069.39267,YChdKBWPBHwjFi,hsQP u,-7137
aFRkmcrHkWV,,,GbVxY,8925
mtFDosHfgC,794.862668,zba,DoAo,2304
","{""num_rows"": 4, ""num_columns"": 5, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""float"", ""Gamma"": ""str"", ""Delta"": ""str"", ""Epsilon"": ""int""}, ""column_max"": {""Alpha"": null, ""Beta"": 1495.644137, ""Gamma"": null, ""Delta"": null, ""Epsilon"": 8925.0}, ""column_min"": {""Alpha"": null, ""Beta"": 794.862668, ""Gamma"": null, ""Delta"": null, ""Epsilon"": -7137.0}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Beta,Gamma,Delta
29.417464,-9679,123.179197,gihDwJNbCHwsx
-988.071392,-5138,-379.983828,ydgGW
-84.6579,8380,687.101486,LQu
","{""num_rows"": 3, ""num_columns"": 4, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""int"", ""Gamma"": ""float"", ""Delta"": ""str""}, ""column_max"": {""Alpha"": 29.417464, ""Beta"": 8380.0, ""Gamma"": 687.101486, ""Delta"": null}, ""column_min"": {""Alpha"": -988.071392, ""Beta"": -9679.0, ""Gamma"": -379.983828, ""Delta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Identifier,Beta,Gamma
cgjoDB,5566,-8548
zddjhDSfi,-4682,-9237
,2151,-4121
QjfRas-411,8378,6041
","{""num_rows"": 4, ""num_columns"": 3, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int"", ""Gamma"": ""int""}, ""column_max"": {""Identifier"": null, ""Beta"": 8378.0, ""Gamma"": 6041.0}, ""column_min"": {""Identifier"": null, ""Beta"": -4682.0, ""Gamma"": -9237.0}, ""identifier_first"": ""cgjoDB"", ""identifier_last"": ""QjfRas-411"", ""identifier_shortest"": """"}"
"Identifier,Beta,Gamma
YaYMXPIq,,-667.620811
xxOiAcMs-707,2485.0,-940.618915
,849.0,930.809812
","{""num_rows"": 3, ""num_columns"": 3, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int"", ""Gamma"": ""float""}, ""column_max"": {""Identifier"": null, ""Beta"": 2485.0, ""Gamma"": 930.809812}, ""column_min"": {""Identifier"": null, ""Beta"": 849.0, ""Gamma"": -940.618915}, ""identifier_first"": ""YaYMXPIq"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier,Gamma
RemnUwBXEsPJ,,9331.0
kybqUbWORk,afhNg,-3299.0
mxlgiTMgrhexdq,y wRl i-426,4970.0
iqAfNqH,paZAi,
","{""num_rows"": 4, ""num_columns"": 3, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str"", ""Gamma"": ""int""}, ""column_max"": {""Alpha"": null, ""Identifier"": null, ""Gamma"": 9331.0}, ""column_min"": {""Alpha"": null, ""Identifier"": null, ""Gamma"": -3299.0}, ""identifier_first"": """", ""identifier_last"": ""paZAi"", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma,Identifier
KdORIT,,-4811,BTIxenfCcI
,-1370.94847,876,bnRcjPHgT-422
vbQjtsmBnFcB,-332.475275,1657,UENyvQlPQz
ZZj,1959.411342,1515,RgfcnjQZP-723
QdJo,-2025.045763,-4340,
","{""num_rows"": 5, ""num_columns"": 4, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""float"", ""Gamma"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Beta"": 1959.411342, ""Gamma"": 1657.0, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Beta"": -2025.045763, ""Gamma"": -4811.0, ""Identifier"": null}, ""identifier_first"": ""BTIxenfCcI"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta,Gamma,Delta,Epsilon
PpOZ JE-304,lgQNeoKyiGRT,TdSHTXjxcijZP,oeBVEzudO,SRJEUX LSv
,WFH,RRzV,ASfuCDah,ocliPCm REBO
mkcxdL-822,oOYHFvuMOAYWPr,lXJpGPlXFGQaEj,Tw,
","{""num_rows"": 3, ""num_columns"": 5, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str"", ""Gamma"": ""str"", ""Delta"": ""str"", ""Epsilon"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null, ""Gamma"": null, ""Delta"": null, ""Epsilon"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null, ""Gamma"": null, ""Delta"": null, ""Epsilon"": null}, ""identifier_first"": ""PpOZ JE-304"", ""identifier_last"": ""mkcxdL-822"", ""identifier_shortest"": """"}"
"Alpha,Beta,Identifier,Delta,Epsilon
vSAVF,1067.316819,TcAdgtG-854,-6607,-1064.0
zew,-1249.886577,,6838,5765.0
ygmqfShxlm,321.387098,uc nZsuS-328,8275,-3038.0
eB,-757.516148,ExoIWcNE,-6974,
","{""num_rows"": 4, ""num_columns"": 5, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""float"", ""Identifier"": ""str"", ""Delta"": ""int"", ""Epsilon"": ""int""}, ""column_max"": {""Alpha"": null, ""Beta"": 1067.316819, ""Identifier"": null, ""Delta"": 8275.0, ""Epsilon"": 5765.0}, ""column_min"": {""Alpha"": null, ""Beta"": -1249.886577, ""Identifier"": null, ""Delta"": -6974.0, ""Epsilon"": -3038.0}, ""identifier_first"": ""TcAdgtG-854"", ""identifier_last"": ""ExoIWcNE"", ""identifier_shortest"": """"}"
"Alpha,Beta,Identifier,Delta,Epsilon
,-2478.152417,,GCRNrMpXslHpSA,-206.623918
-5657.0,-3298.713562,PzDg,VfLyJexDSOikwS,-1928.535017
2023.0,674.68504,uyKKNHio,iiZtAjkDrNo,1647.859985
","{""num_rows"": 3, ""num_columns"": 5, ""column_types"": {""Alpha"": ""int"", ""Beta"": ""float"", ""Identifier"": ""str"", ""Delta"": ""str"", ""Epsilon"": ""float""}, ""column_max"": {""Alpha"": 2023.0, ""Beta"": 674.68504, ""Identifier"": null, ""Delta"": null, ""Epsilon"": 1647.859985}, ""column_min"": {""Alpha"": -5657.0, ""Beta"": -3298.713562, ""Identifier"": null, ""Delta"": null, ""Epsilon"": -1928.535017}, ""identifier_first"": """", ""identifier_last"": ""uyKKNHio"", ""identifier_shortest"": """"}"
"Alpha,Identifier,Gamma
325.326952,lkXv,tVRYC
,,jRLSYmkHko
,lgJHdMQ-105,VhgtOlSbF
-385.941825,jpRtkCW-378,XOQzoJOZoYNBT
1555.357152,zbNFtBBUM-584,eYrqJtrpjNnmaQT
","{""num_rows"": 5, ""num_columns"": 3, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str"", ""Gamma"": ""str""}, ""column_max"": {""Alpha"": 1555.357152, ""Identifier"": null, ""Gamma"": null}, ""column_min"": {""Alpha"": -385.941825, ""Identifier"": null, ""Gamma"": null}, ""identifier_first"": ""lkXv"", ""identifier_last"": ""zbNFtBBUM-584"", ""identifier_shortest"": """"}"
"Identifier,Beta,Gamma,Delta,Epsilon
qviCZ,-835.154451,,-1933.373312,lplP
thSFEwx,831.080411,-1199.0,236.944565,vnUCWj XRJpV
wSqrK,22.367743,2917.0,1647.14958,BxykqKxXzISBRP
,-69.009452,-3379.0,-9.658406,To
","{""num_rows"": 4, ""num_columns"": 5, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""float"", ""Gamma"": ""int"", ""Delta"": ""float"", ""Epsilon"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": 831.080411, ""Gamma"": 2917.0, ""Delta"": 1647.14958, ""Epsilon"": null}, ""column_min"": {""Identifier"": null, ""Beta"": -835.154451, ""Gamma"": -3379.0, ""Delta"": -1933.373312, ""Epsilon"": null}, ""identifier_first"": ""qviCZ"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta,Gamma,Delta
DvDQdpbqi,VENcdpjDXB,-992.431665,exOo
FlQXP,gHFcN,-91.474234,gNCdTWb
,NYximobSeeGIGEI,,NWKcPNz
EdyKAqYS,FsOmuZzZOPmH,-241.881173,XVvPgkOm X tP
ieoVXCPtfx-428,n mcQRHmOtr,210.780194,pCLOtmLv
","{""num_rows"": 5, ""num_columns"": 4, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str"", ""Gamma"": ""float"", ""Delta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null, ""Gamma"": 210.780194, ""Delta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null, ""Gamma"": -992.431665, ""Delta"": null}, ""identifier_first"": ""DvDQdpbqi"", ""identifier_last"": ""ieoVXCPtfx-428"", ""identifier_shortest"": """"}"
"Alpha,Identifier,Gamma,Delta
,,-1478.725399,-2359.800233
xzRFPnnvbnPo,zzJeItPXy,-1177.960484,2399.200533
Niqp,lKBluowIU,122.664896,-638.81016
iLGyyVma,clWBOvXDY,1359.356913,-297.531326
","{""num_rows"": 4, ""num_columns"": 4, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str"", ""Gamma"": ""float"", ""Delta"": ""float""}, ""column_max"": {""Alpha"": null, ""Identifier"": null, ""Gamma"": 1359.356913, ""Delta"": 2399.200533}, ""column_min"": {""Alpha"": null, ""Identifier"": null, ""Gamma"": -1478.725399, ""Delta"": -2359.800233}, ""identifier_first"": """", ""identifier_last"": ""clWBOvXDY"", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma,Delta,Epsilon
8143,-140.009499,9329,-2546,ivP
3559,-524.951572,8725,7619,qpmWp
-5024,-1066.977684,5763,3125,bceGnEvJi
","{""num_rows"": 3, ""num_columns"": 5, ""column_types"": {""Alpha"": ""int"", ""Beta"": ""float"", ""Gamma"": ""int"", ""Delta"": ""int"", ""Epsilon"": ""str""}, ""column_max"": {""Alpha"": 8143.0, ""Beta"": -140.009499, ""Gamma"": 9329.0, ""Delta"": 7619.0, ""Epsilon"": null}, ""column_min"": {""Alpha"": -5024.0, ""Beta"": -1066.977684, ""Gamma"": 5763.0, ""Delta"": -2546.0, ""Epsilon"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Beta,Gamma,Delta,Epsilon
eQVwQejCL,,-2210,185.434502,
o Jipopkfr,-4603.0,987,-82.902807,5539.0
,,8983,541.580742,
Ze,-3861.0,-1527,-340.948927,
","{""num_rows"": 4, ""num_columns"": 5, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""int"", ""Gamma"": ""int"", ""Delta"": ""float"", ""Epsilon"": ""int""}, ""column_max"": {""Alpha"": null, ""Beta"": -3861.0, ""Gamma"": 8983.0, ""Delta"": 541.580742, ""Epsilon"": 5539.0}, ""column_min"": {""Alpha"": null, ""Beta"": -4603.0, ""Gamma"": -2210.0, ""Delta"": -340.948927, ""Epsilon"": 5539.0}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier,Gamma,Delta,Epsilon
882.606273,BFceYXdg-485,-1291.654023,,iDQ
435.875771,mHSHTVa,,-121.448675,YNIM
-318.956989,QnwUjiSKk,140.422308,-583.536717,tIVJuFOPKsk
630.48803,,693.897328,990.132895,XoYPD
-2152.493444,qAQU,79.036569,-353.754334,efEpCzp
","{""num_rows"": 5, ""num_columns"": 5, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str"", ""Gamma"": ""float"", ""Delta"": ""float"", ""Epsilon"": ""str""}, ""column_max"": {""Alpha"": 882.606273, ""Identifier"": null, ""Gamma"": 693.897328, ""Delta"": 990.132895, ""Epsilon"": null}, ""column_min"": {""Alpha"": -2152.493444, ""Identifier"": null, ""Gamma"": -1291.654023, ""Delta"": -583.536717, ""Epsilon"": null}, ""identifier_first"": ""BFceYXdg-485"", ""identifier_last"": ""qAQU"", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma,Delta,Epsilon
gCRiiEBiQD,zw,dUpCoacxsjBVQK,1264,lSAFgbS
hriZpfgNLsviu,AU CW,mWD,-5679,qnOyMOvVGKb
BsfpKVdHzxBX,asGN,kb JjhjlYJJIHad,3342,llmsYlFbzi
OcqosDQInDennRk,To,pDE,-6140,NFYIDUs
","{""num_rows"": 4, ""num_columns"": 5, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""str"", ""Gamma"": ""str"", ""Delta"": ""int"", ""Epsilon"": ""str""}, ""column_max"": {""Alpha"": null, ""Beta"": null, ""Gamma"": null, ""Delta"": 3342.0, ""Epsilon"": null}, ""column_min"": {""Alpha"": null, ""Beta"": null, ""Gamma"": null, ""Delta"": -6140.0, ""Epsilon"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Identifier,Beta,Gamma,Delta,Epsilon
tFQAc,-2301,-612.611835,tJ,PgotQxLWrKk
,3428,-1100.066187,BQfauQ,IkHEJc
ywgPmmco,-7799,763.194355,A PKwKtD,ssybPe
PZXHVmlqAs,-9874,-345.186072,FyjVXlfBRfxnUd,dwUfqeIncI
","{""num_rows"": 4, ""num_columns"": 5, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int"", ""Gamma"": ""float"", ""Delta"": ""str"", ""Epsilon"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": 3428.0, ""Gamma"": 763.194355, ""Delta"": null, ""Epsilon"": null}, ""column_min"": {""Identifier"": null, ""Beta"": -9874.0, ""Gamma"": -1100.066187, ""Delta"": null, ""Epsilon"": null}, ""identifier_first"": ""tFQAc"", ""identifier_last"": ""PZXHVmlqAs"", ""identifier_shortest"": """"}"
"Alpha,Identifier,Gamma
-481.996266,NlJmYn,sTIWJKouR
-321.203924,ApbkrAN,WNwVBSwWF
-792.680865,,dLNPgyJiI
-444.55899,SwxuJx,sFershhlFwjROxT
203.529922,chOROLluq-719,OYQ
","{""num_rows"": 5, ""num_columns"": 3, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str"", ""Gamma"": ""str""}, ""column_max"": {""Alpha"": 203.529922, ""Identifier"": null, ""Gamma"": null}, ""column_min"": {""Alpha"": -792.680865, ""Identifier"": null, ""Gamma"": null}, ""identifier_first"": ""NlJmYn"", ""identifier_last"": ""chOROLluq-719"", ""identifier_shortest"": """"}"
"Identifier,Beta,Gamma
,-6439,UNfwjRWTC
JkXh-38,-2901,ADddoeOkby
U pEZywl-143,-9287,mnHW fsMdzDXID
pHh rNe,-2690,tfiAFVphM
","{""num_rows"": 4, ""num_columns"": 3, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int"", ""Gamma"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": -2690.0, ""Gamma"": null}, ""column_min"": {""Identifier"": null, ""Beta"": -9287.0, ""Gamma"": null}, ""identifier_first"": """", ""identifier_last"": ""pHh rNe"", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma,Identifier
-16,-806.378707,rIxuUF KeJ,
-2042,-144.013347,blAAVUy,SBUcEWlC
-8882,1316.605596,CHstWXx GEoKE,aCct-529
","{""num_rows"": 3, ""num_columns"": 4, ""column_types"": {""Alpha"": ""int"", ""Beta"": ""float"", ""Gamma"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": -16.0, ""Beta"": 1316.605596, ""Gamma"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": -8882.0, ""Beta"": -806.378707, ""Gamma"": null, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""aCct-529"", ""identifier_shortest"": """"}"
"Alpha,Identifier,Gamma,Delta
1650,,,yPPN
-5499,tnIfsqi,6800.0,ZuB
6114,rL Rdgh-476,-3297.0,sda
","{""num_rows"": 3, ""num_columns"": 4, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str"", ""Gamma"": ""int"", ""Delta"": ""str""}, ""column_max"": {""Alpha"": 6114.0, ""Identifier"": null, ""Gamma"": 6800.0, ""Delta"": null}, ""column_min"": {""Alpha"": -5499.0, ""Identifier"": null, ""Gamma"": -3297.0, ""Delta"": null}, ""identifier_first"": """", ""identifier_last"": ""rL Rdgh-476"", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma,Delta,Identifier
-1041.357212,90.26207,rHebYBsdm,1453.128359,GcaMHZik
-198.053275,-2745.518647,ZqAkvvyiXikN,-170.729909,RLoNmFl
1283.488041,-2015.960166,tmACHq,-470.607713,EOxY
-601.248085,42.30286,JIOHwqxWUHpdVXx,430.554922,SfQKWyAxv
-161.044732,-757.862327,blZZDcjPbe i,-176.006379,
","{""num_rows"": 5, ""num_columns"": 5, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""float"", ""Gamma"": ""str"", ""Delta"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 1283.488041, ""Beta"": 90.26207, ""Gamma"": null, ""Delta"": 1453.128359, ""Identifier"": null}, ""column_min"": {""Alpha"": -1041.357212, ""Beta"": -2745.518647, ""Gamma"": null, ""Delta"": -470.607713, ""Identifier"": null}, ""identifier_first"": ""GcaMHZik"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Beta,Gamma
RyUbuxp,IuHrWQy,NrkPiKnqEf
qJxibATbl,mWKkMNbVlR u g,wXbaENuFOhLCM
CaEVPDOGkAOWzLQ,NYETrftuXKgqNk,Pupve
TN EIxY,IrwaEqeJWwjAVd,sMVBAVoqQlgx
","{""num_rows"": 4, ""num_columns"": 3, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""str"", ""Gamma"": ""str""}, ""column_max"": {""Alpha"": null, ""Beta"": null, ""Gamma"": null}, ""column_min"": {""Alpha"": null, ""Beta"": null, ""Gamma"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Identifier,Beta,Gamma
,,soiTCPGDH
pEyeemKsw,432.366605,taDHMGsFZ
myWDFLVV,-851.76539,hvyeLqcdbRS
BXXUx,324.77452,tpm
","{""num_rows"": 4, ""num_columns"": 3, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""float"", ""Gamma"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": 432.366605, ""Gamma"": null}, ""column_min"": {""Identifier"": null, ""Beta"": -851.76539, ""Gamma"": null}, ""identifier_first"": """", ""identifier_last"": ""BXXUx"", ""identifier_shortest"": """"}"
"Alpha,Identifier,Gamma
h hxCleeoUcVvVk,,270.707587
arhmuesFfgnQM,ciIpkEvLoE-509,
WVzDNBm,oXCvEZ,
fshpNoseiOcByS,YgrN hQKo,-641.703096
,dLWlo-432,410.995841
","{""num_rows"": 5, ""num_columns"": 3, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str"", ""Gamma"": ""float""}, ""column_max"": {""Alpha"": null, ""Identifier"": null, ""Gamma"": 410.995841}, ""column_min"": {""Alpha"": null, ""Identifier"": null, ""Gamma"": -641.703096}, ""identifier_first"": """", ""identifier_last"": ""dLWlo-432"", ""identifier_shortest"": """"}"
